w Gamma(a,b) + (1-w) InverseGamma(g,d): [a,b,g,d,w] =	[0.7920239, 3.75463, 3.437898, 56.19209, 0.9488415]
gene	p_phi_neg	q_phi_neg	phi_neg	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs
ABCC5	5.272688e-02	1.934736e-01	2.863522	8.519965e-01	1.000000e+00	0.143120	9	0	6
ABCC6	2.464374e-04	6.275580e-03	7.692626	8.519965e-01	1.000000e+00	0.158445	30	3	28
ABCC6P1	1.311654e-02	8.370370e-02	4.089895	8.928747e-01	1.000000e+00	0.028391	5	0	6
ABCC6P2	9.621522e-01	9.773896e-01	0.197228	2.347602e-01	1.000000e+00	2.199320	5	0	0
ABCC8	0.000000e+00	0.000000e+00	24.438004	1.000000e+00	1.000000e+00	0.001319	39	2	51
ABCC9	1.267902e-03	1.924119e-02	6.172569	8.603539e-01	1.000000e+00	0.128668	62	1	28
ABCD1	2.393300e-02	1.200573e-01	3.585207	1.000000e+00	1.000000e+00	0.027731	0	0	2
ABCD2	5.678239e-01	7.316215e-01	0.854292	4.381996e-01	1.000000e+00	1.327544	17	1	5
ABCD3	9.925854e-01	9.965361e-01	0.093104	3.464409e-04	4.738095e-01	9.731387	5	4	0
ABCD4	7.317047e-02	2.354016e-01	2.602340	8.782260e-01	1.000000e+00	0.083693	3	0	3
ABCE1	8.132433e-03	6.216216e-02	4.512351	7.734223e-01	1.000000e+00	0.412064	3	1	5
ABCF1	5.230544e-03	4.669217e-02	4.918256	5.502339e-01	1.000000e+00	0.972888	1	2	4
ABCF2	2.942962e-03	3.246651e-02	5.402959	1.000000e+00	1.000000e+00	0.002661	1	0	4
ABCF3	9.173006e-02	2.704523e-01	2.434781	8.463999e-01	1.000000e+00	0.163122	6	0	4
ABCG1	1.771492e-03	2.363593e-02	5.843822	8.700632e-01	1.000000e+00	0.104900	13	1	13
ABCG2	5.980571e-02	2.085045e-01	2.773831	8.519965e-01	1.000000e+00	0.141635	8	0	5
ABCG4	9.411050e-04	1.575486e-02	6.458764	1.000000e+00	1.000000e+00	0.004522	8	0	10
ABCG5	2.119719e-03	2.634265e-02	5.690442	7.404675e-01	1.000000e+00	0.477467	3	1	7
ABCG8	6.431837e-02	2.178887e-01	2.704148	7.887800e-01	1.000000e+00	0.363652	13	1	9
ABHD1	3.377835e-01	5.754898e-01	1.259112	7.887800e-01	1.000000e+00	0.360599	4	0	2
ABHD10	6.967767e-01	8.200525e-01	0.632444	7.273599e-01	1.000000e+00	0.499442	1	0	0
ABHD11	1.901032e-01	4.172212e-01	1.748322	8.603539e-01	1.000000e+00	0.130909	2	0	2
ABHD12	2.407157e-01	4.798377e-01	1.522260	8.075896e-01	1.000000e+00	0.305027	4	0	2
ABHD12B	8.872299e-01	9.334367e-01	0.321390	3.821779e-01	1.000000e+00	1.534058	4	0	0
ABHD13	8.385496e-01	9.058607e-01	0.418462	5.110843e-01	1.000000e+00	1.092300	3	0	0
ABHD14A	5.188846e-01	6.947493e-01	0.956495	1.000000e+00	1.000000e+00	0.384237	0	0	0
ABHD14B	3.944641e-01	6.174479e-01	1.144670	8.075896e-01	1.000000e+00	0.305390	2	0	1
ABHD15	3.842816e-02	1.594000e-01	3.142181	8.866370e-01	1.000000e+00	0.048338	3	0	4
ABHD16A	5.690739e-02	2.021761e-01	2.801201	8.700632e-01	1.000000e+00	0.118152	4	0	4
ABHD16B	6.836708e-01	8.125175e-01	0.641049	7.273599e-01	1.000000e+00	0.494221	1	0	0
ABHD17A	4.206400e-01	6.322811e-01	1.110456	1.000000e+00	1.000000e+00	0.329409	0	0	0
ABHD17B	3.591664e-01	5.925055e-01	1.210753	1.000000e+00	1.000000e+00	0.297973	0	0	0
ABHD17C	4.470303e-01	6.486526e-01	1.061827	1.000000e+00	1.000000e+00	0.345823	0	0	0
ABHD2	4.376585e-02	1.725308e-01	3.023590	8.825583e-01	1.000000e+00	0.067893	3	0	3
ABHD3	3.096646e-01	5.506001e-01	1.301982	8.202168e-01	1.000000e+00	0.269992	2	0	1
ABHD4	2.181328e-02	1.142443e-01	3.666563	6.514304e-01	1.000000e+00	0.695357	1	1	3
ABHD5	4.769813e-03	4.416336e-02	4.996069	8.373442e-01	1.000000e+00	0.217357	4	1	6
ABHD6	1.409336e-02	8.733953e-02	4.020372	1.000000e+00	1.000000e+00	0.008567	1	0	3
ABHD8	6.281117e-02	2.144172e-01	2.729751	8.928747e-01	1.000000e+00	0.035422	1	0	2
ABI1	9.621522e-01	9.773896e-01	0.187837	2.311975e-01	1.000000e+00	2.200453	5	0	0
ABI2	7.883496e-02	2.458292e-01	2.554390	1.000000e+00	1.000000e+00	0.077740	0	0	1
ABI3	1.821494e-04	5.246914e-03	8.032530	1.000000e+00	1.000000e+00	0.000429	3	0	9
ABI3BP	8.385496e-01	9.058607e-01	0.400009	1.916979e-01	1.000000e+00	2.452397	26	2	7
ABL1	5.188846e-01	6.947493e-01	0.949211	4.502429e-01	1.000000e+00	1.295339	12	0	3
ABL2	3.452980e-02	1.498218e-01	3.247815	8.700632e-01	1.000000e+00	0.107671	9	0	6
ABLIM1	1.455784e-01	3.565162e-01	2.004812	7.404675e-01	1.000000e+00	0.464450	14	0	6
ABLIM2	2.867067e-02	1.338586e-01	3.436694	8.782260e-01	1.000000e+00	0.080195	8	0	6
ABLIM3	1.861781e-01	4.122909e-01	1.775673	7.523037e-01	1.000000e+00	0.456064	10	0	4
ABO	1.106754e-01	3.013664e-01	2.262985	8.519965e-01	1.000000e+00	0.152284	4	0	3
ABP1	1.114326e-03	1.771721e-02	6.286367	8.928747e-01	1.000000e+00	0.027169	23	0	16
ABR	3.247616e-02	1.445743e-01	3.301029	8.928747e-01	1.000000e+00	0.034116	2	0	3
ABRA	5.087289e-01	6.875631e-01	0.965119	4.865656e-01	1.000000e+00	1.178559	14	1	4
ABRACL	3.821529e-01	6.096809e-01	1.176038	1.000000e+00	1.000000e+00	0.308499	0	0	0
ABT1	1.096468e-02	7.491459e-02	4.244496	1.000000e+00	1.000000e+00	0.008956	1	0	3
ABTB1	6.133969e-02	2.117564e-01	2.746655	8.928747e-01	1.000000e+00	0.034665	1	0	2
ABTB2	2.627058e-02	1.269722e-01	3.504373	8.866370e-01	1.000000e+00	0.051776	5	0	5
ACAA1	8.131665e-01	8.910747e-01	0.451591	4.267795e-01	1.000000e+00	1.378959	6	0	1
ACAA2	1.181989e-01	3.135731e-01	2.206685	8.700632e-01	1.000000e+00	0.104234	2	0	2
ACACA	2.857245e-05	1.313629e-03	9.607052	1.000000e+00	1.000000e+00	0.001228	17	0	17
ACACB	1.857209e-04	5.247376e-03	8.010153	8.202168e-01	1.000000e+00	0.261855	19	3	20
ACAD10	1.033894e-01	2.905988e-01	2.327081	3.573003e-01	1.000000e+00	1.638926	9	3	7
ACAD8	3.821529e-01	6.096809e-01	1.168212	8.075896e-01	1.000000e+00	0.311742	2	0	1
ACAD9	1.288921e-01	3.308443e-01	2.139668	8.700632e-01	1.000000e+00	0.101950	2	0	2
ACADL	2.407157e-01	4.798377e-01	1.532473	8.012733e-01	1.000000e+00	0.325070	4	0	2
ACADM	9.101182e-01	9.467908e-01	0.293664	2.913568e-01	1.000000e+00	1.912494	5	0	0
ACADS	5.388496e-01	7.093707e-01	0.901848	6.949945e-01	1.000000e+00	0.556881	3	0	1
ACADSB	9.425247e-01	9.661267e-01	0.220087	2.135773e-01	1.000000e+00	2.314011	6	0	0
ACADVL	9.865174e-02	2.820391e-01	2.376275	1.000000e+00	1.000000e+00	0.092896	0	0	1
ACAN	1.505411e-03	2.138508e-02	6.006579	8.603539e-01	1.000000e+00	0.123795	80	1	38
ACAP1	1.486125e-02	9.065359e-02	3.986544	8.866370e-01	1.000000e+00	0.046992	7	0	7
ACAP2	1.236473e-02	8.126761e-02	4.149117	5.172703e-01	1.000000e+00	1.075419	2	2	4
ACAP3	4.283010e-02	1.701717e-01	3.055009	6.867120e-01	1.000000e+00	0.575354	3	1	4
ACAT1	4.206400e-01	6.322811e-01	1.108513	1.000000e+00	1.000000e+00	0.330049	0	0	0
ACAT2	6.836708e-01	8.125175e-01	0.648112	7.404675e-01	1.000000e+00	0.477882	1	0	0
ACBD3	5.388496e-01	7.093707e-01	0.905566	4.210525e-01	1.000000e+00	1.397686	3	1	1
ACBD4	5.583235e-01	7.244815e-01	0.875456	6.514304e-01	1.000000e+00	0.699834	4	0	1
ACBD5	6.093557e-01	7.610728e-01	0.766486	5.050466e-01	1.000000e+00	1.114502	7	0	1
ACBD6	6.093557e-01	7.610728e-01	0.773449	7.635844e-01	1.000000e+00	0.435074	1	0	0
ACBD7	3.705722e-01	6.009644e-01	1.194300	4.988142e-01	1.000000e+00	1.128923	2	1	1
ACCS	4.206400e-01	6.322811e-01	1.105484	7.734223e-01	1.000000e+00	0.413217	3	0	1
ACCSL	9.524947e-01	9.717570e-01	0.206479	2.205114e-01	1.000000e+00	2.269887	6	0	0
ACD	9.425247e-01	9.661267e-01	0.239449	5.806636e-02	1.000000e+00	3.937504	13	0	1
ACE	4.283010e-02	1.701717e-01	3.048034	8.140469e-01	1.000000e+00	0.297353	33	2	16
ACE2	4.470303e-01	6.486526e-01	1.065641	6.949945e-01	1.000000e+00	0.557784	4	0	1
ACER1	2.457231e-03	2.902954e-02	5.575092	8.463999e-01	1.000000e+00	0.174702	7	1	9
ACER2	1.409336e-02	8.733953e-02	4.029740	1.000000e+00	1.000000e+00	0.017779	0	0	2
ACER3	1.056377e-01	2.939963e-01	2.314260	2.347602e-01	1.000000e+00	2.181427	0	2	1
ACHE	7.878585e-01	8.759406e-01	0.486779	4.745991e-01	1.000000e+00	1.202680	5	0	1
ACIN1	6.967767e-01	8.200525e-01	0.635690	4.325512e-01	1.000000e+00	1.358626	7	0	1
ACLY	9.173006e-02	2.704523e-01	2.432588	7.273599e-01	1.000000e+00	0.491522	8	1	6
ACMSD	7.752045e-01	8.676601e-01	0.505978	3.004982e-01	1.000000e+00	1.868324	10	1	2
ACN9	3.481410e-01	5.837061e-01	1.225051	1.000000e+00	1.000000e+00	0.293743	0	0	0
ACO1	7.487232e-02	2.382081e-01	2.587625	8.782260e-01	1.000000e+00	0.080409	3	0	3
ACO2	1.409336e-02	8.733953e-02	4.024311	8.928747e-01	1.000000e+00	0.025993	4	0	5
ACOT11	2.026858e-03	2.561499e-02	5.729638	1.000000e+00	1.000000e+00	0.010945	8	0	9
ACOT12	4.074967e-01	6.253665e-01	1.131543	5.502339e-01	1.000000e+00	0.972598	11	1	4
ACOT13	4.731901e-01	6.640029e-01	1.021693	1.000000e+00	1.000000e+00	0.359985	0	0	0
ACOT2	1.178614e-03	1.834862e-02	6.224512	1.000000e+00	1.000000e+00	0.001002	1	0	5
ACOT4	9.621522e-01	9.773896e-01	0.191518	1.772778e-01	1.000000e+00	2.559945	6	0	0
ACOT6	7.498875e-01	8.509575e-01	0.542266	6.256813e-01	1.000000e+00	0.770927	2	0	0
ACOT7	5.388496e-01	7.093707e-01	0.907081	6.949945e-01	1.000000e+00	0.554728	3	0	1
ACOT8	5.188846e-01	6.947493e-01	0.950811	7.153095e-01	1.000000e+00	0.512278	3	0	1
ACOT9	2.459677e-01	4.853312e-01	1.508026	8.321386e-01	1.000000e+00	0.233015	2	0	1
ACOX1	1.288921e-01	3.308443e-01	2.138598	6.514304e-01	1.000000e+00	0.682341	5	1	4
ACOX2	1.806136e-02	1.016687e-01	3.829933	8.928747e-01	1.000000e+00	0.031555	4	0	5
ACOX3	3.276028e-01	5.667841e-01	1.276419	6.033340e-01	1.000000e+00	0.833268	11	0	4
ACOXL	1.505411e-03	2.138508e-02	6.011471	8.866370e-01	1.000000e+00	0.053469	18	1	16
ACP1	2.944159e-01	5.359960e-01	1.351958	8.012733e-01	1.000000e+00	0.327399	3	0	1
ACP2	5.125183e-03	4.610442e-02	4.939562	1.000000e+00	1.000000e+00	0.007158	0	0	3
ACP5	8.872299e-01	9.334367e-01	0.322353	4.441159e-01	1.000000e+00	1.307207	3	0	0
ACP6	3.944641e-01	6.174479e-01	1.149009	5.433230e-01	1.000000e+00	0.983860	11	0	3
ACPL2	3.041180e-03	3.296554e-02	5.378289	1.000000e+00	1.000000e+00	0.007824	4	0	6
ACPP	1.234991e-01	3.229070e-01	2.174844	5.649398e-01	1.000000e+00	0.923359	9	2	6
ACPT	2.944159e-01	5.359960e-01	1.346802	8.140469e-01	1.000000e+00	0.297116	3	0	2
ACR	8.006250e-01	8.832427e-01	0.472210	3.926105e-01	1.000000e+00	1.496492	6	0	1
ACRBP	1.806136e-02	1.016687e-01	3.825219	8.373442e-01	1.000000e+00	0.201910	9	1	8
ACRC	9.425247e-01	9.661267e-01	0.225220	1.018840e-01	1.000000e+00	3.244605	11	0	0
ACRV1	4.206400e-01	6.322811e-01	1.115095	7.817083e-01	1.000000e+00	0.380189	3	0	1
ACSBG1	3.182542e-01	5.576395e-01	1.281724	4.805547e-01	1.000000e+00	1.195392	15	0	4
ACSBG2	2.964392e-04	7.084934e-03	7.492209	8.866370e-01	1.000000e+00	0.043521	13	1	13
ACSF2	1.464338e-04	4.525386e-03	8.225624	1.000000e+00	1.000000e+00	0.000758	5	0	10
ACSF3	6.444355e-01	7.866226e-01	0.712125	6.109468e-01	1.000000e+00	0.813177	4	0	1
ACSL1	2.348298e-03	2.835274e-02	5.605225	1.000000e+00	1.000000e+00	0.009112	5	0	7
ACSL3	5.188846e-01	6.947493e-01	0.954048	4.441159e-01	1.000000e+00	1.305926	5	1	2
ACSL4	3.821529e-01	6.096809e-01	1.174102	4.152095e-01	1.000000e+00	1.405242	2	1	1
ACSL5	1.261224e-01	3.268814e-01	2.152911	7.523037e-01	1.000000e+00	0.457276	22	1	10
ACSL6	9.631237e-02	2.783782e-01	2.387810	8.202168e-01	1.000000e+00	0.271082	11	0	6
ACSM1	0.000000e+00	0.000000e+00	12.652380	1.000000e+00	1.000000e+00	0.001342	31	0	25
ACSM2A	8.500304e-04	1.481481e-02	6.544509	8.825583e-01	1.000000e+00	0.065913	36	3	24
ACSM2B	9.319851e-01	9.591682e-01	0.256904	3.658702e-02	1.000000e+00	4.474217	54	4	11
ACSM3	7.498875e-01	8.509575e-01	0.558591	3.671542e-01	1.000000e+00	1.589409	8	0	1
ACSM4	8.739598e-02	2.619774e-01	2.472705	7.523037e-01	1.000000e+00	0.453208	20	2	10
ACSM5	2.625094e-04	6.498674e-03	7.602872	1.000000e+00	1.000000e+00	0.009710	17	0	15
ACSS1	1.607200e-05	8.174387e-04	10.135878	8.321386e-01	1.000000e+00	0.224639	1	1	9
ACSS2	3.821529e-01	6.096809e-01	1.171705	4.926855e-01	1.000000e+00	1.145435	4	1	2
ACSS3	8.131665e-01	8.910747e-01	0.449095	1.945677e-01	1.000000e+00	2.437455	34	3	10
ACTA1	3.021144e-01	5.431773e-01	1.322794	7.523037e-01	1.000000e+00	0.459567	5	0	2
ACTA2	9.425247e-01	9.661267e-01	0.232622	1.768277e-02	1.000000e+00	5.314601	3	2	0
ACTB	1.516893e-01	3.648754e-01	1.979324	8.321386e-01	1.000000e+00	0.220418	5	0	3
ACTBL2	5.469838e-03	4.800188e-02	4.867269	7.153095e-01	1.000000e+00	0.504822	2	1	5
ACTC1	2.514483e-01	4.909554e-01	1.496932	6.109468e-01	1.000000e+00	0.808556	16	0	5
ACTG1	5.272688e-02	1.934736e-01	2.865169	8.700632e-01	1.000000e+00	0.102501	5	0	4
ACTG2	2.447766e-02	1.219376e-01	3.569758	8.866370e-01	1.000000e+00	0.052488	7	0	6
ACTL10	4.470303e-01	6.486526e-01	1.063616	1.000000e+00	1.000000e+00	0.345205	0	0	0
ACTL6A	2.871460e-01	5.291083e-01	1.373070	8.262367e-01	1.000000e+00	0.253101	2	0	1
ACTL6B	1.611950e-01	3.792370e-01	1.915694	7.887800e-01	1.000000e+00	0.363662	8	0	4
ACTL7A	1.397764e-01	3.474123e-01	2.043776	8.321386e-01	1.000000e+00	0.220886	5	0	3
ACTL7B	4.897139e-02	1.848160e-01	2.927050	8.463999e-01	1.000000e+00	0.168317	10	0	6
ACTL8	6.093557e-01	7.610728e-01	0.774958	2.205114e-01	1.000000e+00	2.276481	18	0	3
ACTL9	1.785778e-05	8.841733e-04	9.933737	1.000000e+00	1.000000e+00	0.000787	15	0	18
ACTN1	0.000000e+00	0.000000e+00	13.619229	1.000000e+00	1.000000e+00	0.000011	5	0	13
ACTN2	1.041109e-03	1.703184e-02	6.376898	8.928747e-01	1.000000e+00	0.034963	19	1	14
ACTN3	3.021144e-01	5.431773e-01	1.328336	8.140469e-01	1.000000e+00	0.281553	2	0	1
ACTN4	7.366674e-01	8.435454e-01	0.570524	5.806636e-02	1.000000e+00	3.935649	1	2	0
ACTR10	8.872299e-01	9.334367e-01	0.331206	4.381996e-01	1.000000e+00	1.323820	3	0	0
ACTR1A	5.678239e-01	7.316215e-01	0.842044	6.631273e-01	1.000000e+00	0.648858	4	0	1
ACTR1B	2.627058e-02	1.269722e-01	3.515296	8.928747e-01	1.000000e+00	0.033670	3	0	4
ACTR2	8.753366e-01	9.257243e-01	0.342883	3.982839e-01	1.000000e+00	1.478968	4	0	0
ACTR3	7.696703e-02	2.422301e-01	2.563817	8.825583e-01	1.000000e+00	0.070434	2	0	2
ACTR3B	7.696703e-02	2.422301e-01	2.571142	8.700632e-01	1.000000e+00	0.116979	4	0	3
ACTR3BP2	3.096646e-01	5.506001e-01	1.304504	1.000000e+00	1.000000e+00	0.271307	0	0	0
ACTR3C	8.302439e-02	2.541797e-01	2.502884	8.603539e-01	1.000000e+00	0.128833	4	0	3
ACTR5	1.056377e-01	2.939963e-01	2.318579	8.519965e-01	1.000000e+00	0.142825	4	0	3
ACTR6	6.093557e-01	7.610728e-01	0.779103	7.734223e-01	1.000000e+00	0.411507	1	0	0
ACTR8	2.568324e-01	4.968940e-01	1.479491	5.233848e-01	1.000000e+00	1.045191	3	1	2
ACTRT1	3.021144e-01	5.431773e-01	1.324030	5.882674e-01	1.000000e+00	0.869723	9	1	4
ACTRT2	1.114326e-03	1.771721e-02	6.280923	8.866370e-01	1.000000e+00	0.045334	18	1	15
ACTRT3	6.093557e-01	7.610728e-01	0.767999	7.635844e-01	1.000000e+00	0.424235	1	0	0
ACVR1	4.053716e-04	8.922956e-03	7.233917	1.000000e+00	1.000000e+00	0.000866	2	0	6
ACVR1B	3.051538e-02	1.390625e-01	3.373208	3.232437e-01	1.000000e+00	1.765609	1	2	3
ACVR1C	2.253545e-01	4.606797e-01	1.598491	2.867656e-01	1.000000e+00	1.936324	8	3	5
ACVR2A	1.516893e-01	3.648754e-01	1.964318	6.109468e-01	1.000000e+00	0.815191	3	1	2
ACVR2B	4.196578e-04	9.097948e-03	7.188273	1.000000e+00	1.000000e+00	0.001189	2	0	6
ACVRL1	4.376585e-02	1.725308e-01	3.026784	5.575021e-01	1.000000e+00	0.953746	7	2	7
ACY1	1.784939e-01	4.020959e-01	1.808199	8.700632e-01	1.000000e+00	0.103217	1	0	1
ACY3	6.444355e-01	7.866226e-01	0.711191	6.327262e-01	1.000000e+00	0.740457	4	0	1
ACYP1	6.093557e-01	7.610728e-01	0.766774	7.635844e-01	1.000000e+00	0.421263	1	0	0
ACYP2	2.737866e-01	5.147044e-01	1.409381	1.000000e+00	1.000000e+00	0.244294	0	0	0
ADA	3.701918e-03	3.759521e-02	5.206829	1.000000e+00	1.000000e+00	0.002955	1	0	4
ADAD1	2.871460e-01	5.291083e-01	1.372424	6.184382e-01	1.000000e+00	0.796298	17	1	6
ADAD2	2.459677e-01	4.853312e-01	1.509483	6.949945e-01	1.000000e+00	0.542453	10	0	5
ADAL	8.131665e-01	8.910747e-01	0.440902	5.172703e-01	1.000000e+00	1.078950	3	0	0
ADAM10	8.260313e-01	8.980546e-01	0.435624	2.384407e-01	1.000000e+00	2.177505	6	1	1
ADAM11	4.074967e-01	6.253665e-01	1.129139	6.631273e-01	1.000000e+00	0.655583	7	0	3
ADAM12	5.690739e-02	2.021761e-01	2.814025	8.519965e-01	1.000000e+00	0.153390	9	0	6
ADAM15	1.762920e-02	1.003558e-01	3.852466	8.928747e-01	1.000000e+00	0.035047	5	0	6
ADAM17	5.877138e-01	7.457693e-01	0.809369	7.817083e-01	1.000000e+00	0.397283	1	0	0
ADAM18	8.006250e-01	8.832427e-01	0.466740	1.744473e-01	1.000000e+00	2.564869	61	5	15
ADAM19	3.313154e-02	1.462363e-01	3.287883	8.373442e-01	1.000000e+00	0.208785	22	1	13
ADAM1A	3.591664e-01	5.925055e-01	1.218465	1.000000e+00	1.000000e+00	0.295684	0	0	0
ADAM2	5.409836e-02	1.960396e-01	2.844354	7.153095e-01	1.000000e+00	0.516427	40	4	16
ADAM20	2.737866e-01	5.147044e-01	1.411995	6.033340e-01	1.000000e+00	0.830653	9	1	4
