w Exp(t) + (1-w) InverseGamma(a,b): [a,b,t,w] =	[2.433361, 2.387495, 3.947957, 0.7499894]
gene	p_phi_neg	q_phi_neg	phi_neg	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs
AAMDC	2.964874e-01	7.072503e-01	0.703912	1.000000e+00	1.000000e+00	0.494646	0	0	0
AAMP	3.744634e-01	7.332144e-01	0.669602	1.000000e+00	1.000000e+00	0.511912	0	0	0
AANAT	1.748152e-01	6.455193e-01	0.805114	5.673578e-01	1.000000e+00	0.315277	1	0	1
AAR2	3.332030e-01	7.200239e-01	0.693343	1.000000e+00	1.000000e+00	0.499902	0	0	0
AARD	4.161488e-01	7.441879e-01	0.643814	1.000000e+00	1.000000e+00	0.525285	0	0	0
AARS	7.433069e-01	8.667271e-01	0.300968	4.178471e-01	1.000000e+00	0.813043	1	0	0
AARS2	7.975160e-01	8.903902e-01	0.261486	3.730437e-01	1.000000e+00	0.876249	1	0	0
AASDH	3.332030e-01	7.200239e-01	0.699507	1.000000e+00	1.000000e+00	0.496830	0	0	0
AASDHPPT	2.356334e-01	6.802248e-01	0.753499	1.000000e+00	1.000000e+00	0.470717	0	0	0
AASS	6.093075e-03	2.404510e-01	2.654503	1.000000e+00	1.000000e+00	0.070334	0	0	2
AATF	2.755813e-02	3.891074e-01	1.734266	1.000000e+00	1.000000e+00	0.176530	0	0	1
AATK	4.558074e-01	7.535294e-01	0.620654	1.000000e+00	1.000000e+00	0.537593	0	0	0
AATK-AS1	5.681381e-01	7.853712e-01	0.546014	1.000000e+00	1.000000e+00	0.579254	0	0	0
ABAT	9.040966e-01	9.432601e-01	0.177828	2.573110e-01	1.000000e+00	1.536945	2	0	0
ABCA1	4.927997e-01	7.643207e-01	0.617230	5.203025e-01	1.000000e+00	0.636350	2	0	1
ABCA10	9.456784e-01	9.659644e-01	0.127448	1.226115e-01	1.000000e+00	2.559996	4	0	0
ABCA11P	9.040966e-01	9.432601e-01	0.171292	1.917229e-01	1.000000e+00	1.954276	3	0	0
ABCA12	9.816958e-01	9.887942e-01	0.083694	2.478124e-02	1.000000e+00	4.445301	12	1	2
ABCA13	2.640666e-01	6.926738e-01	0.737534	3.142791e-01	1.000000e+00	1.215689	9	0	3
ABCA2	3.571556e-06	7.407407e-03	7.513895	6.031198e-01	1.000000e+00	0.098341	3	1	9
ABCA3	1.251830e-02	3.034632e-01	2.316956	6.050341e-01	1.000000e+00	0.049360	1	0	3
ABCA4	4.161488e-01	7.441879e-01	0.648435	3.099486e-01	1.000000e+00	1.245915	8	0	3
ABCA5	3.332030e-01	7.200239e-01	0.693754	5.300029e-01	1.000000e+00	0.575087	2	0	1
ABCA6	9.990178e-01	1.000000e+00	0.023254	5.282332e-03	1.000000e+00	6.188515	6	1	0
ABCA7	6.042966e-01	8.044359e-01	0.473699	4.509465e-01	1.000000e+00	0.768779	2	0	1
ABCA8	9.548912e-02	5.455770e-01	1.190560	4.656220e-01	1.000000e+00	0.743931	9	0	4
ABCA9	3.744634e-01	7.332144e-01	0.672347	5.273474e-01	1.000000e+00	0.593595	2	0	1
ABCB1	3.332030e-01	7.200239e-01	0.684920	4.351191e-01	1.000000e+00	0.785757	4	0	2
ABCB10	9.456784e-01	9.659644e-01	0.135412	2.183542e-01	1.000000e+00	1.713812	2	0	0
ABCB11	7.975160e-01	8.903902e-01	0.268529	7.845816e-02	1.000000e+00	3.056383	3	1	1
ABCB4	8.066360e-02	5.154627e-01	1.347535	1.958141e-01	1.000000e+00	1.904918	0	1	1
ABCB5	9.990178e-01	1.000000e+00	0.030235	7.271688e-03	1.000000e+00	5.858186	9	1	1
ABCB6	5.250759e-01	7.728329e-01	0.595921	1.000000e+00	1.000000e+00	0.551055	0	0	0
ABCB7	9.040966e-01	9.432601e-01	0.171427	2.374281e-01	1.000000e+00	1.601697	2	0	0
ABCB8	9.134433e-02	5.370184e-01	1.242905	5.944605e-01	1.000000e+00	0.159547	1	0	2
ABCB9	5.971463e-01	7.993068e-01	0.492659	4.656220e-01	1.000000e+00	0.744103	2	0	1
ABCC1	1.629344e-01	6.355974e-01	0.825050	5.673578e-01	1.000000e+00	0.313025	1	0	1
ABCC10	8.952284e-02	5.345596e-01	1.266621	1.000000e+00	1.000000e+00	0.281782	0	0	1
ABCC11	1.033162e-01	5.640538e-01	1.088833	5.673578e-01	1.000000e+00	0.312236	2	0	2
ABCC12	5.808154e-01	7.906578e-01	0.536935	4.919622e-01	1.000000e+00	0.700915	2	0	1
ABCC13	2.111790e-01	6.655186e-01	0.764857	1.000000e+00	1.000000e+00	0.465401	0	0	0
ABCC2	3.744634e-01	7.332144e-01	0.679168	4.178471e-01	1.000000e+00	0.818132	4	0	2
ABCC3	3.232258e-04	8.055556e-02	4.694032	1.000000e+00	1.000000e+00	0.015416	5	0	8
ABCC4	6.119397e-01	8.091285e-01	0.448558	3.308082e-01	1.000000e+00	1.042086	3	0	1
ABCC5	7.707757e-01	8.793118e-01	0.293484	4.015626e-01	1.000000e+00	0.821483	1	0	0
ABCC6	2.083289e-02	3.658200e-01	1.868614	2.994821e-01	1.000000e+00	1.320650	1	1	3
ABCC6P1	7.975160e-01	8.903902e-01	0.274833	3.862727e-01	1.000000e+00	0.855077	1	0	0
ABCC6P2	5.250759e-01	7.728329e-01	0.599775	1.000000e+00	1.000000e+00	0.548935	0	0	0
ABCC8	9.118183e-03	2.731942e-01	2.467348	6.037644e-01	1.000000e+00	0.066397	2	0	4
ABCC9	6.119397e-01	8.091285e-01	0.456604	1.637648e-01	1.000000e+00	2.186151	4	1	2
ABCD1	2.584021e-03	1.704358e-01	3.224202	1.000000e+00	1.000000e+00	0.039788	0	0	3
ABCD2	1.272313e-01	6.032258e-01	0.929844	5.827744e-01	1.000000e+00	0.278953	1	0	1
ABCD3	4.161488e-01	7.441879e-01	0.654217	1.000000e+00	1.000000e+00	0.519849	0	0	0
ABCD4	6.157006e-02	4.782633e-01	1.469665	1.000000e+00	1.000000e+00	0.230003	0	0	1
ABCE1	6.157006e-02	4.782633e-01	1.478159	2.016715e-01	1.000000e+00	1.852065	0	1	1
ABCF1	1.160863e-01	5.856396e-01	0.985059	5.827744e-01	1.000000e+00	0.276393	1	0	1
ABCF2	3.744634e-01	7.332144e-01	0.664077	1.000000e+00	1.000000e+00	0.514748	0	0	0
ABCF3	7.433069e-01	8.667271e-01	0.307466	4.178471e-01	1.000000e+00	0.806054	1	0	0
ABCG1	1.033162e-01	5.640538e-01	1.088305	5.673578e-01	1.000000e+00	0.316364	2	0	2
ABCG2	4.432123e-02	4.433548e-01	1.574371	1.000000e+00	1.000000e+00	0.207138	0	0	1
ABCG4	1.911461e-01	6.559907e-01	0.795525	5.323512e-01	1.000000e+00	0.553428	3	0	2
ABCG5	7.975160e-01	8.903902e-01	0.274507	4.015626e-01	1.000000e+00	0.828411	1	0	0
ABCG8	5.779671e-02	4.717242e-01	1.490953	5.976517e-01	1.000000e+00	0.124272	1	0	2
ABHD1	7.454373e-02	5.052409e-01	1.392407	1.000000e+00	1.000000e+00	0.248476	0	0	1
ABHD10	4.558074e-01	7.535294e-01	0.620688	1.000000e+00	1.000000e+00	0.537574	0	0	0
ABHD11	8.759777e-02	5.300162e-01	1.292636	1.000000e+00	1.000000e+00	0.274546	0	0	1
ABHD12	7.433069e-01	8.667271e-01	0.311946	4.351191e-01	1.000000e+00	0.795968	1	0	0
ABHD12B	7.149148e-01	8.573466e-01	0.339176	4.656220e-01	1.000000e+00	0.759428	1	0	0
ABHD13	2.356334e-01	6.802248e-01	0.749679	1.000000e+00	1.000000e+00	0.472518	0	0	0
ABHD14A	5.681381e-01	7.853712e-01	0.543891	1.000000e+00	1.000000e+00	0.580485	0	0	0
ABHD14B	4.927997e-01	7.643207e-01	0.610739	1.000000e+00	1.000000e+00	0.542949	0	0	0
ABHD15	5.250759e-01	7.728329e-01	0.581234	1.000000e+00	1.000000e+00	0.559208	0	0	0
ABHD16A	8.308154e-02	5.200537e-01	1.331491	1.000000e+00	1.000000e+00	0.264083	0	0	1
ABHD16B	4.558074e-01	7.535294e-01	0.628364	1.000000e+00	1.000000e+00	0.533464	0	0	0
ABHD17A	4.161488e-01	7.441879e-01	0.644912	1.000000e+00	1.000000e+00	0.524709	0	0	0
ABHD17B	2.964874e-01	7.072503e-01	0.715611	1.000000e+00	1.000000e+00	0.488893	0	0	0
ABHD17C	4.927997e-01	7.643207e-01	0.609188	1.000000e+00	1.000000e+00	0.543792	0	0	0
ABHD2	2.964874e-01	7.072503e-01	0.703187	1.000000e+00	1.000000e+00	0.495005	0	0	0
ABHD3	7.433069e-01	8.667271e-01	0.312458	4.351191e-01	1.000000e+00	0.789593	1	0	0
ABHD4	3.744634e-01	7.332144e-01	0.670607	1.000000e+00	1.000000e+00	0.511398	0	0	0
ABHD5	6.893139e-01	8.473318e-01	0.353211	4.509465e-01	1.000000e+00	0.765517	1	0	0
ABHD6	4.161488e-01	7.441879e-01	0.657108	1.000000e+00	1.000000e+00	0.518348	0	0	0
ABHD8	9.040966e-01	9.432601e-01	0.163439	2.374281e-01	1.000000e+00	1.604421	2	0	0
ABI1	7.975160e-01	8.903902e-01	0.264048	3.730437e-01	1.000000e+00	0.863681	1	0	0
ABI2	5.084110e-02	4.597868e-01	1.521461	1.000000e+00	1.000000e+00	0.218393	0	0	1
ABI3	2.964874e-01	7.072503e-01	0.716754	5.505447e-01	1.000000e+00	0.355384	1	0	1
ABI3BP	7.433069e-01	8.667271e-01	0.301500	4.351191e-01	1.000000e+00	0.794850	1	0	0
ABL1	8.529590e-02	5.242454e-01	1.319923	2.573110e-01	1.000000e+00	1.524006	1	1	2
ABL2	4.558074e-01	7.535294e-01	0.620139	1.062967e-01	1.000000e+00	2.707165	0	1	0
ABLIM1	5.779671e-02	4.717242e-01	1.495349	1.000000e+00	1.000000e+00	0.224170	0	0	1
ABLIM2	5.084110e-02	4.597868e-01	1.538720	1.000000e+00	1.000000e+00	0.214656	0	0	1
ABLIM3	7.149148e-01	8.573466e-01	0.330258	4.509465e-01	1.000000e+00	0.772579	1	0	0
ABO	9.040966e-01	9.432601e-01	0.177930	2.421086e-01	1.000000e+00	1.580488	2	0	0
ABP1	9.550341e-03	2.781071e-01	2.455803	6.050341e-01	1.000000e+00	0.042418	1	0	3
ABR	1.442034e-01	6.216397e-01	0.865613	5.673578e-01	1.000000e+00	0.302638	1	0	1
ABRA	7.433069e-01	8.667271e-01	0.307665	1.686935e-01	1.000000e+00	2.144242	6	0	1
ABRACL	3.332030e-01	7.200239e-01	0.693924	1.000000e+00	1.000000e+00	0.499611	0	0	0
ABT1	3.744634e-01	7.332144e-01	0.670455	1.000000e+00	1.000000e+00	0.511476	0	0	0
ABTB1	1.748152e-01	6.455193e-01	0.811199	5.673578e-01	1.000000e+00	0.317429	1	0	1
ABTB2	9.040966e-01	9.432601e-01	0.171922	2.469410e-01	1.000000e+00	1.574969	2	0	0
ACAA1	5.250759e-01	7.728329e-01	0.585891	1.000000e+00	1.000000e+00	0.556610	0	0	0
ACAA2	4.161488e-01	7.441879e-01	0.646613	1.000000e+00	1.000000e+00	0.523817	0	0	0
ACACA	4.756241e-02	4.536536e-01	1.543622	1.000000e+00	1.000000e+00	0.213606	0	0	1
ACACB	9.839459e-02	5.543717e-01	1.159216	5.401443e-01	1.000000e+00	0.435506	4	0	3
ACAD10	9.950355e-03	2.844308e-01	2.433282	6.050341e-01	1.000000e+00	0.045357	1	0	3
ACAD8	7.975160e-01	8.903902e-01	0.279185	3.862727e-01	1.000000e+00	0.846519	1	0	0
ACAD9	6.157006e-02	4.782633e-01	1.464792	1.000000e+00	1.000000e+00	0.231126	0	0	1
ACADL	4.161488e-01	7.441879e-01	0.657955	1.000000e+00	1.000000e+00	0.517909	0	0	0
ACADM	3.670310e-02	4.271197e-01	1.621268	1.000000e+00	1.000000e+00	0.197648	0	0	1
ACADS	9.257741e-01	9.555685e-01	0.159322	2.252688e-01	1.000000e+00	1.666118	2	0	0
ACADSB	7.149148e-01	8.573466e-01	0.323377	4.351191e-01	1.000000e+00	0.781132	1	0	0
ACADVL	4.927997e-01	7.643207e-01	0.607720	1.000000e+00	1.000000e+00	0.544591	0	0	0
ACAN	1.272313e-01	6.032258e-01	0.938954	4.919622e-01	1.000000e+00	0.706916	7	0	4
ACAP1	9.294261e-02	5.407938e-01	1.221225	2.374281e-01	1.000000e+00	1.600198	1	1	2
ACAP2	2.896711e-02	3.969897e-01	1.702073	1.000000e+00	1.000000e+00	0.182305	0	0	1
ACAP3	4.161488e-01	7.441879e-01	0.646740	1.000000e+00	1.000000e+00	0.523750	0	0	0
ACAT1	4.161488e-01	7.441879e-01	0.647584	1.000000e+00	1.000000e+00	0.523308	0	0	0
ACAT2	4.558074e-01	7.535294e-01	0.636990	1.000000e+00	1.000000e+00	0.528882	0	0	0
ACBD3	8.426551e-01	9.115090e-01	0.234222	2.805904e-01	1.000000e+00	1.434366	2	0	0
ACBD4	7.756348e-02	5.108680e-01	1.374172	2.127683e-01	1.000000e+00	1.742953	0	1	1
ACBD5	1.911461e-01	6.559907e-01	0.789857	1.000000e+00	1.000000e+00	0.453910	0	0	0
ACBD6	3.462624e-02	4.183387e-01	1.657683	1.000000e+00	1.000000e+00	0.190580	0	0	1
ACBD7	8.214472e-01	9.007833e-01	0.247620	2.764795e-01	1.000000e+00	1.456896	2	0	0
ACCS	2.964874e-01	7.072503e-01	0.711428	1.000000e+00	1.000000e+00	0.490943	0	0	0
ACCSL	7.149148e-01	8.573466e-01	0.320899	4.509465e-01	1.000000e+00	0.770480	1	0	0
ACD	6.331940e-01	8.224913e-01	0.408231	3.862727e-01	1.000000e+00	0.855694	2	0	1
ACE	1.053448e-01	5.674940e-01	1.065808	5.241580e-01	1.000000e+00	0.618850	5	0	3
ACE2	3.359049e-03	1.911585e-01	3.007543	6.058484e-01	1.000000e+00	0.027638	1	0	3
ACER1	3.744634e-01	7.332144e-01	0.670574	1.000000e+00	1.000000e+00	0.511415	0	0	0
ACER2	5.084110e-02	4.597868e-01	1.526664	1.000000e+00	1.000000e+00	0.217259	0	0	1
ACER3	2.964874e-01	7.072503e-01	0.709195	1.000000e+00	1.000000e+00	0.492040	0	0	0
ACHE	9.456784e-01	9.659644e-01	0.129553	2.101646e-01	1.000000e+00	1.772432	2	0	0
ACIN1	5.869852e-03	2.387073e-01	2.670070	1.000000e+00	1.000000e+00	0.069247	0	0	2
ACLY	1.629344e-01	6.355974e-01	0.830740	5.673578e-01	1.000000e+00	0.309348	1	0	1
ACMSD	1.101968e-01	5.771418e-01	1.020304	5.876710e-01	1.000000e+00	0.254627	1	0	1
ACN9	2.640666e-01	6.926738e-01	0.726336	1.000000e+00	1.000000e+00	0.483678	0	0	0
ACO1	8.426551e-01	9.115090e-01	0.237261	4.369799e-03	1.000000e+00	6.391886	1	2	0
ACO2	4.161488e-01	7.441879e-01	0.649775	1.000000e+00	1.000000e+00	0.522163	0	0	0
ACOT11	1.629344e-01	6.355974e-01	0.833263	5.323512e-01	1.000000e+00	0.559457	3	0	2
ACOT12	6.893139e-01	8.473318e-01	0.350052	4.656220e-01	1.000000e+00	0.746227	1	0	0
ACOT13	5.250759e-01	7.728329e-01	0.585805	1.000000e+00	1.000000e+00	0.556658	0	0	0
ACOT2	7.975160e-01	8.903902e-01	0.279811	3.862727e-01	1.000000e+00	0.845566	1	0	0
ACOT4	7.707757e-01	8.793118e-01	0.281158	3.862727e-01	1.000000e+00	0.854279	1	0	0
ACOT6	6.674131e-01	8.386357e-01	0.360668	4.919622e-01	1.000000e+00	0.715514	1	0	0
ACOT7	7.975160e-01	8.903902e-01	0.275349	3.730437e-01	1.000000e+00	0.867179	1	0	0
ACOT8	6.470945e-02	4.864546e-01	1.458476	1.000000e+00	1.000000e+00	0.232590	0	0	1
ACOT9	3.067967e-02	4.055713e-01	1.689927	1.000000e+00	1.000000e+00	0.184533	0	0	1
ACOX1	7.433069e-01	8.667271e-01	0.302162	4.178471e-01	1.000000e+00	0.810519	1	0	0
ACOX2	1.078610e-02	2.926357e-01	2.390014	1.000000e+00	1.000000e+00	0.091628	0	0	2
ACOX3	6.893139e-01	8.473318e-01	0.356954	1.026108e-01	1.000000e+00	2.741393	2	1	1
ACOXL	6.813815e-02	4.922085e-01	1.422402	1.000000e+00	1.000000e+00	0.241134	0	0	1
ACP1	1.748152e-01	6.455193e-01	0.808458	1.000000e+00	1.000000e+00	0.445545	0	0	0
ACP2	7.975160e-01	8.903902e-01	0.264048	3.730437e-01	1.000000e+00	0.871078	1	0	0
ACP5	4.558074e-01	7.535294e-01	0.631940	1.000000e+00	1.000000e+00	0.531559	0	0	0
ACP6	4.756241e-02	4.536536e-01	1.559336	1.000000e+00	1.000000e+00	0.210276	0	0	1
ACPL2	4.558074e-01	7.535294e-01	0.622595	1.044877e-01	1.000000e+00	2.729632	0	1	0
ACPP	3.332030e-01	7.200239e-01	0.686775	1.000000e+00	1.000000e+00	0.503196	0	0	0
ACPT	5.808154e-01	7.906578e-01	0.538544	1.000000e+00	1.000000e+00	0.583597	0	0	0
ACR	7.756348e-02	5.108680e-01	1.363659	5.944605e-01	1.000000e+00	0.153777	1	0	2
ACRBP	7.433069e-01	8.667271e-01	0.317347	4.178471e-01	1.000000e+00	0.810151	1	0	0
ACRC	1.629344e-01	6.355974e-01	0.827847	1.000000e+00	1.000000e+00	0.436989	0	0	0
ACRV1	2.640666e-01	6.926738e-01	0.728244	1.000000e+00	1.000000e+00	0.482756	0	0	0
ACSBG1	3.744634e-01	7.332144e-01	0.673494	1.000000e+00	1.000000e+00	0.509924	0	0	0
ACSBG2	2.640666e-01	6.926738e-01	0.732452	1.000000e+00	1.000000e+00	0.480729	0	0	0
ACSF2	1.507911e-02	3.246444e-01	2.175861	2.719383e-01	1.000000e+00	1.473559	0	1	2
ACSF3	7.454373e-02	5.052409e-01	1.386725	1.000000e+00	1.000000e+00	0.249892	0	0	1
ACSL1	8.825494e-01	9.319793e-01	0.185457	2.520554e-01	1.000000e+00	1.554565	2	0	0
ACSL3	8.825494e-01	9.319793e-01	0.193067	2.622558e-01	1.000000e+00	1.505239	2	0	0
ACSL4	8.622647e-01	9.215593e-01	0.216061	2.848852e-01	1.000000e+00	1.419539	2	0	0
ACSL5	9.924354e-01	9.961712e-01	0.070644	1.426837e-02	1.000000e+00	5.107995	8	0	0
ACSL6	1.444694e-02	3.191321e-01	2.201374	2.719383e-01	1.000000e+00	1.463473	0	1	2
ACSM1	5.464481e-04	9.357798e-02	4.279880	5.355566e-01	1.000000e+00	0.503244	1	1	5
ACSM2A	4.138362e-02	4.376582e-01	1.595160	3.308082e-01	1.000000e+00	1.056376	2	1	3
ACSM2B	6.212811e-01	8.156445e-01	0.431238	1.377567e-01	1.000000e+00	2.410121	2	1	1
ACSM3	8.622647e-01	9.215593e-01	0.208642	2.719383e-01	1.000000e+00	1.474839	2	0	0
ACSM4	5.971463e-01	7.993068e-01	0.496322	3.347780e-01	1.000000e+00	1.000371	3	0	1
ACSM5	1.526769e-01	6.299440e-01	0.849356	5.673578e-01	1.000000e+00	0.315532	1	0	1
ACSS1	4.927997e-01	7.643207e-01	0.605059	1.000000e+00	1.000000e+00	0.546042	0	0	0
ACSS2	4.756241e-02	4.536536e-01	1.547027	1.000000e+00	1.000000e+00	0.212880	0	0	1
ACSS3	6.119397e-01	8.091285e-01	0.451470	2.719383e-01	1.000000e+00	1.464073	6	0	2
ACTA1	3.744634e-01	7.332144e-01	0.668975	1.000000e+00	1.000000e+00	0.512233	0	0	0
ACTA2	7.433069e-01	8.667271e-01	0.317438	4.509465e-01	1.000000e+00	0.776284	1	0	0
ACTB	3.744634e-01	7.332144e-01	0.663557	1.000000e+00	1.000000e+00	0.515016	0	0	0
ACTBL2	1.526769e-01	6.299440e-01	0.856401	5.757348e-01	1.000000e+00	0.295584	1	0	1
ACTC1	8.825494e-01	9.319793e-01	0.192842	2.719383e-01	1.000000e+00	1.462808	2	0	0
ACTG1	5.084110e-02	4.597868e-01	1.530705	1.000000e+00	1.000000e+00	0.216383	0	0	1
ACTG2	7.433069e-01	8.667271e-01	0.305673	4.351191e-01	1.000000e+00	0.785192	1	0	0
ACTL10	4.927997e-01	7.643207e-01	0.616971	1.000000e+00	1.000000e+00	0.539576	0	0	0
ACTL6A	4.138362e-02	4.376582e-01	1.594283	1.000000e+00	1.000000e+00	0.203054	0	0	1
ACTL6B	7.433069e-01	8.667271e-01	0.300042	4.015626e-01	1.000000e+00	0.833105	1	0	0
ACTL7A	1.373942e-01	6.154548e-01	0.882710	5.757348e-01	1.000000e+00	0.299611	1	0	1
ACTL7B	8.825494e-01	9.319793e-01	0.186489	2.573110e-01	1.000000e+00	1.533470	2	0	0
ACTL8	5.250759e-01	7.728329e-01	0.584892	5.096843e-01	1.000000e+00	0.662647	2	0	1
ACTL9	2.182221e-03	1.610013e-01	3.370512	1.000000e+00	1.000000e+00	0.034372	0	0	3
ACTN1	6.893139e-01	8.473318e-01	0.347320	4.509465e-01	1.000000e+00	0.761269	1	0	0
ACTN2	5.084110e-02	4.597868e-01	1.538239	3.121183e-01	1.000000e+00	1.227309	1	1	2
ACTN3	3.744634e-01	7.332144e-01	0.668621	1.000000e+00	1.000000e+00	0.512415	0	0	0
ACTN4	6.893139e-01	8.473318e-01	0.344163	4.509465e-01	1.000000e+00	0.772990	1	0	0
ACTR10	4.558074e-01	7.535294e-01	0.632211	1.000000e+00	1.000000e+00	0.531416	0	0	0
ACTR1A	3.332030e-01	7.200239e-01	0.683523	1.000000e+00	1.000000e+00	0.504835	0	0	0
ACTR1B	4.558074e-01	7.535294e-01	0.638253	1.000000e+00	1.000000e+00	0.528215	0	0	0
ACTR2	2.640666e-01	6.926738e-01	0.731437	1.000000e+00	1.000000e+00	0.481217	0	0	0
ACTR3	2.356334e-01	6.802248e-01	0.740845	1.000000e+00	1.000000e+00	0.476711	0	0	0
ACTR3B	6.893139e-01	8.473318e-01	0.343879	4.509465e-01	1.000000e+00	0.762034	1	0	0
ACTR3BP2	6.481178e-01	8.301494e-01	0.399099	4.919622e-01	1.000000e+00	0.704368	1	0	0
ACTR3C	3.332030e-01	7.200239e-01	0.690781	1.000000e+00	1.000000e+00	0.501185	0	0	0
ACTR5	3.744634e-01	7.332144e-01	0.661998	1.000000e+00	1.000000e+00	0.515820	0	0	0
ACTR6	2.356334e-01	6.802248e-01	0.748676	1.000000e+00	1.000000e+00	0.472992	0	0	0
ACTR8	3.744634e-01	7.332144e-01	0.676453	1.000000e+00	1.000000e+00	0.508417	0	0	0
ACTRT1	7.433069e-01	8.667271e-01	0.305190	3.415658e-02	1.000000e+00	4.059390	15	0	2
ACTRT2	5.084110e-02	4.597868e-01	1.527365	1.000000e+00	1.000000e+00	0.217107	0	0	1
ACTRT3	3.250652e-02	4.113672e-01	1.667211	1.000000e+00	1.000000e+00	0.188773	0	0	1
ACVR1	8.622647e-01	9.215593e-01	0.204467	2.719383e-01	1.000000e+00	1.468016	2	0	0
ACVR1B	7.707757e-01	8.793118e-01	0.297477	4.015626e-01	1.000000e+00	0.822846	1	0	0
ACVR1C	7.433069e-01	8.667271e-01	0.316022	4.178471e-01	1.000000e+00	0.812099	1	0	0
ACVR2A	1.748152e-01	6.455193e-01	0.816917	1.000000e+00	1.000000e+00	0.441792	0	0	0
ACVR2B	7.149148e-01	8.573466e-01	0.333555	4.178471e-01	1.000000e+00	0.800492	1	0	0
ACVRL1	8.066360e-02	5.154627e-01	1.343743	5.757348e-01	1.000000e+00	0.298545	3	0	3
ACY1	3.332030e-01	7.200239e-01	0.688732	1.000000e+00	1.000000e+00	0.502212	0	0	0
ACY3	1.911461e-01	6.559907e-01	0.788064	5.673578e-01	1.000000e+00	0.317467	1	0	1
ACYP1	2.640666e-01	6.926738e-01	0.730631	1.000000e+00	1.000000e+00	0.481605	0	0	0
ACYP2	1.526769e-01	6.299440e-01	0.858001	1.000000e+00	1.000000e+00	0.424009	0	0	0
ADA	5.250759e-01	7.728329e-01	0.580435	1.026108e-01	1.000000e+00	2.750786	0	1	0
ADAD1	2.083289e-02	3.658200e-01	1.861440	6.031198e-01	1.000000e+00	0.085433	1	0	2
ADAD2	6.042966e-01	8.044359e-01	0.474074	3.270099e-01	1.000000e+00	1.091834	4	0	2
ADAL	6.674131e-01	8.386357e-01	0.378847	5.019108e-01	1.000000e+00	0.697589	1	0	0
ADAM10	2.640666e-01	6.926738e-01	0.739866	1.000000e+00	1.000000e+00	0.477178	0	0	0
ADAM11	9.968035e-01	9.989441e-01	0.040839	1.033251e-02	1.000000e+00	5.478021	3	1	0
ADAM12	2.755813e-02	3.891074e-01	1.738625	5.902818e-01	1.000000e+00	0.233845	4	0	4
ADAM15	1.368620e-02	3.142271e-01	2.253783	1.000000e+00	1.000000e+00	0.105001	0	0	2
ADAM17	2.111790e-01	6.655186e-01	0.773316	1.000000e+00	1.000000e+00	0.461480	0	0	0
ADAM18	8.622647e-01	9.215593e-01	0.204758	5.181792e-02	1.000000e+00	3.545698	10	0	1
ADAM19	8.426551e-01	9.115090e-01	0.232079	1.827280e-01	1.000000e+00	2.025624	5	0	1
ADAM1A	2.640666e-01	6.926738e-01	0.731484	1.000000e+00	1.000000e+00	0.481194	0	0	0
ADAM2	4.444802e-03	2.154978e-01	2.801288	3.622237e-01	1.000000e+00	0.884038	1	1	3
ADAM20	5.971463e-01	7.993068e-01	0.493603	1.331905e-01	1.000000e+00	2.447517	2	1	1
ADAM20P1	2.356334e-01	6.802248e-01	0.742086	1.000000e+00	1.000000e+00	0.476120	0	0	0
